"sample","Species_code_sample","RT","MZ","PC_ID","TIC"
"DN1686","M4_1686_2",10.7206,689.0107,"M4_6",6153.64683707552
"DN1686","M4_1686_2",6.4968,718.0741,"M4_1",11845.0257965297
"DN1686","M4_1686_2",6.4968,719.0792,"M4_1",7375.82444091798
"DN1686","M4_1686_2",10.5015,743.1109,"M4_91",5103.0721654093
"DN1686","M4_1686_2",13.278,761.0976,"M4_111",1671.20049692111
"DN1686","M4_1686_2",12.0413,788.1096,"M4_69",10043.2512347412
"DN1686","M4_1686_2",12.0576,789.1159,"M4_54",2787.31970172527
"DN1686","M4_1686_2",21.9832,821.3957,"M4_131",17.1308108108106
"DN1686","M4_1686_2",21.9852,822.3983,"M4_131",0
"DN1686","M4_1686_2",9.0695,912.1353,"M4_129",356.223980751035
"DN1686","M4_1686_2",9.209,912.1367,"M4_108",1966.06778731183
"DN1686","M4_1686_2",9.0737,912.6372,"M4_89",1316.32921245321
"DN1686","M4_1686_2",8.381,913.1454,"M4_34",11896.95292101
"DN1686","M4_1686_2",10.7885,913.1417,"M4_101",1384.06360336585
"DN1686","M4_1686_2",8.381,914.1487,"M4_34",4927.32968804572
"DN1686","M4_1686_2",8.3839,915.152,"M4_34",479.39114248362
"DN1686","M4_1686_2",10.9636,927.1803,"M4_68",3890.65225789392
"DN1686","M4_1686_2",9.0023,969.182,"M4_3",13849.5932532092
"DN1686","M4_1686_2",9.0046,970.185,"M4_3",6452.92314565873
"DN1686","M4_1686_2",8.9987,971.1882,"M4_3",1900.38943832399
"DN1686","M4_1686_2",9.0016,1022.0933,"M4_3",2016.81810188059
"DN1686","M4_1686_2",9.0034,1023.0984,"M4_3",1868.14695290173
"DN1686","M4_1686_2",9.1573,1140.1741,"M4_84",2371.36639816446
"DN1686","M4_1686_2",9.4929,1140.1716,"M4_119",858.450416224897
"DN1686","M4_1686_2",9.5,1140.6714,"M4_119",1316.14952898319
"DN1686","M4_1686_2",9.1533,1140.6742,"M4_84",2801.90791989136
"DN1686","M4_1686_2",9.1498,1141.1766,"M4_84",1560.19133260037
"DN1689","M4_1689",6.5023,123.0077,"M4_1",6361.88842350261
"DN1689","M4_1689",1.7129,123.007,"M4_120",1250.97455821398
"DN1689","M4_1689",1.7017,125.0232,"M4_121",11215.2906225403
"DN1689","M4_1689",6.5023,151.0024,"M4_1",13263.4371518282
"DN1689","M4_1689",1.2125,163.0391,"M4_8",8272.89054965444
"DN1689","M4_1689",6.4987,163.0386,"M4_1",2027.32368279157
"DN1689","M4_1689",1.7017,169.0133,"M4_122",15854.7654977464
"DN1689","M4_1689",8.8414,169.0129,"M4_15",14371.7781489257
"DN1689","M4_1689",6.8972,169.013,"M4_56",4523.29147121059
"DN1689","M4_1689",9.8609,169.013,"M4_57",6628.32809524568
"DN1689","M4_1689",1.5176,169.0117,"M4_82",1277.80362929577
"DN1689","M4_1689",6.614,169.0132,"M4_126",2310.03336520903
"DN1689","M4_1689",6.5127,180.0654,"M4_1",68970.5474118751
"DN1689","M4_1689",1.2124,180.0657,"M4_8",55039.6316130308
"DN1689","M4_1689",9.0166,180.0653,"M4_3",4334.57911076743
"DN1689","M4_1689",1.02,180.0655,"M4_51",20693.372919375
"DN1689","M4_1689",6.5109,181.0687,"M4_1",6599.80776188149
"DN1689","M4_1689",1.2467,181.0686,"M4_79",4909.53321003482
