species_sample,compound_number,TIC
T69_1422,69,43890.891113
T69_1422,70,6547.611267
T69_1422,71,19177.269531
T69_1422,72,14866.075623
T69_1422,73,15458.985962
T69_1422,74,2913.504028
T69_1422,75,10553.232849
T69_1422,79,2154.073364
T69_1422,82,88089.804199
T69_1422,84,2696.930511
T69_1422,85,2187.717285
T69_1422,86,4883.713531
T69_1422,87,10745.803101
T69_1422,88,15756.130524
T69_1422,90,8321.016357
T69_1422,91,6157.673752
T69_1422,92,1990.560455
T69_1422,93,12884.269165
T69_1422,94,7047.347260
T69_1422,100,13720.475891
T69_1422,104,48697.079346
T69_1422,105,22250.691772
T69_1422,106,2539.093781
T69_1422,107,695222.977295
T69_1422,108,5532.113831
T69_1422,110,55687.249237
T69_1422,111,14675.849854
T69_1422,112,7061.053467
T69_1422,113,14707.481323
T69_1422,114,10627.730286
T69_1422,115,23529.075195
T69_1422,116,16802.029419
T69_1422,118,4325.983521
T69_1422,119,7266.756775
T69_1422,121,9514.059296
T69_1422,123,62980.356812
T69_1422,125,10508.147522
T69_1422,127,5507.610474
T69_1422,129,7520.922546
T69_1422,130,3453.299072
T69_1422,131,6219.181564
T69_1422,132,18260.990540
T69_1422,133,2648.849182
T69_1422,135,8321.016357
T69_1422,136,2868.002380
T69_1422,138,2671.197815
T69_1422,143,8087.478516
T69_1422,145,47583.888702
T69_1422,146,961.133545
T69_1422,147,10709.844116
T69_1422,149,2548.343628
T69_1422,151,5572.774414
T69_1422,152,20333.568451
T69_1422,153,3229.194458
T69_1422,154,3054.703918
T69_1422,157,13823.477905
T69_1422,158,8703.809082
T69_1422,159,48967.296265
T69_1422,161,13621.880188
T69_1422,162,8021.126404
T69_1422,166,25076.368866
T69_1422,167,25295.429260
T69_1421,1,1768008.644806
T69_1421,3,3195011.299530
T69_1421,6,154933.484024
T69_1421,7,536108.892914
T69_1421,8,1378547.421082
T69_1421,9,10264.830017
T69_1421,11,9921.038849
T69_1421,12,204456.100159
T69_1421,14,15014.953339
T69_1421,15,140781.849075
T69_1421,16,166572.292480
T69_1421,17,36398.408142
T69_1421,18,194504.933151
T69_1421,20,256861.774139
T69_1421,21,42548.188446
T69_1421,23,184869.515564
T69_1421,24,27889.690796
T69_1421,26,97042.988525
T69_1421,27,43399.767090
T69_1421,28,12626.929932
T69_1421,29,268721.848282
T69_1421,30,78750.121033
T69_1421,32,161158.881348
T69_1421,33,40137.512878
T69_1421,34,21440.545471
T69_1421,35,6160.415985
