feature_number,sample,rt,mz,PC_ID,TIC
59,DN733,6.508200,333.079200,M4_1,65216.464727
59,DN734,6.508200,333.079200,M4_1,47787.486373
60,DN1686,9.002300,333.079200,M4_3,93418.996589
60,DN1689,9.002300,333.079200,M4_3,65428.875955
60,DN732,9.002300,333.079200,M4_3,92930.407660
60,DN733,9.002300,333.079200,M4_3,94760.577528
60,DN734,9.002300,333.079200,M4_3,54138.046088
61,DN1686,10.733000,333.079000,M4_6,7277.819678
61,DN1689,10.733000,333.079000,M4_6,3480.671923
61,DN732,10.733000,333.079000,M4_6,3330.122873
61,DN733,10.733000,333.079000,M4_6,2919.327654
61,DN734,10.733000,333.079000,M4_6,4066.842914
62,DN1686,9.001000,334.081200,M4_3,11805.638136
62,DN1689,9.001000,334.081200,M4_3,10096.307837
62,DN732,9.001000,334.081200,M4_3,14780.534381
62,DN733,9.001000,334.081200,M4_3,14712.746723
62,DN734,9.001000,334.081200,M4_3,8153.298744
63,DN1686,6.493200,334.081400,M4_1,10118.810198
63,DN1689,6.493200,334.081400,M4_1,9032.554681
63,DN732,6.493200,334.081400,M4_1,11536.931679
63,DN733,6.493200,334.081400,M4_1,10233.062886
63,DN734,6.493200,334.081400,M4_1,7574.934543
64,DN1686,5.487600,348.071300,M4_71,848.695823
64,DN1689,5.487600,348.071300,M4_71,274.133182
64,DN732,5.487600,348.071300,M4_71,1553.967967
64,DN733,5.487600,348.071300,M4_71,4561.377145
64,DN734,5.487600,348.071300,M4_71,9334.908694
65,DN1686,8.295400,348.070200,M4_103,977.674525
65,DN1689,8.295400,348.070200,M4_103,232.739878
65,DN732,8.295400,348.070200,M4_103,1013.463276
65,DN733,8.295400,348.070200,M4_103,1721.872062
65,DN734,8.295400,348.070200,M4_103,3819.589622
66,DN1686,6.601400,352.041500,M4_127,3503.548469
66,DN1689,6.601400,352.041500,M4_127,5785.552590
66,DN732,6.601400,352.041500,M4_127,4093.568382
66,DN733,6.601400,352.041500,M4_127,3605.387591
66,DN734,6.601400,352.041500,M4_127,3302.623999
67,DN1686,9.013200,354.057500,M4_3,19154.956084
67,DN1689,9.013200,354.057500,M4_3,11985.507217
67,DN732,9.013200,354.057500,M4_3,16772.517565
67,DN733,9.013200,354.057500,M4_3,16717.816340
67,DN734,9.013200,354.057500,M4_3,9968.559335
68,DN1686,6.510900,354.057400,M4_1,23851.976533
68,DN1689,6.510900,354.057400,M4_1,21053.175377
68,DN732,6.510900,354.057400,M4_1,21839.258504
68,DN733,6.510900,354.057400,M4_1,22568.868779
68,DN734,6.510900,354.057400,M4_1,16580.421383
69,DN1686,6.523200,355.060100,M4_1,1486.590535
69,DN1689,6.523200,355.060100,M4_1,3831.370391
69,DN732,6.523200,355.060100,M4_1,3774.477761
69,DN733,6.523200,355.060100,M4_1,3491.913170
69,DN734,6.523200,355.060100,M4_1,1837.045117
70,DN1686,22.376500,382.984200,M4_4,3980.385035
70,DN1689,22.376500,382.984200,M4_4,103.881667
